"","gwid","statename","from","to","group","groupid","gwgroupid","umbrella","size","status","reg_aut"
"25",850,"Indonesia",1950,1958,"Acehnese",1000,85001000,NA,0.01,"POWERLESS","true"
"26",850,"Indonesia",1950,1958,"Balinese",3000,85003000,NA,0.01,"POWERLESS","true"
"27",850,"Indonesia",1950,1958,"Makassarese and Bugis",10000,85010000,NA,0.01,"POWERLESS","true"
"28",850,"Indonesia",1950,1958,"Minahasa",11000,85011000,NA,0.005,"POWERLESS","true"
"29",850,"Indonesia",1950,1958,"Amboinese",2000,85002000,NA,0.0042,"SELF-EXCLUSION","true"
"30",850,"Indonesia",1950,1958,"Gorontalos",7000,85007000,NA,0.0039,"POWERLESS","true"
"31",850,"Indonesia",1950,1958,"Ternate",15000,85015000,NA,0.001,"POWERLESS","true"
"32",850,"Indonesia",1959,1963,"Javanese",8000,85008000,NA,0.45,"DOMINANT",""
"33",850,"Indonesia",1959,1963,"Sundanese",14000,85014000,NA,0.13,"POWERLESS","true"
"34",850,"Indonesia",1959,1963,"Madura",9000,85009000,NA,0.05,"POWERLESS","true"
"35",850,"Indonesia",1959,1963,"Minangkabaus",12000,85012000,NA,0.03,"POWERLESS","true"
"36",850,"Indonesia",1959,1963,"Bataks",4000,85004000,NA,0.02,"POWERLESS","true"
"37",850,"Indonesia",1959,1963,"Chinese (Han)",5000,85005000,NA,0.02,"DISCRIMINATED","false"
"38",850,"Indonesia",1959,1963,"Dayak",16000,85016000,NA,0.015,"POWERLESS","true"
"39",850,"Indonesia",1959,1963,"Acehnese",1000,85001000,NA,0.01,"POWERLESS","true"
"40",850,"Indonesia",1959,1963,"Balinese",3000,85003000,NA,0.01,"POWERLESS","true"
"41",850,"Indonesia",1959,1963,"Makassarese and Bugis",10000,85010000,NA,0.01,"POWERLESS","true"
"42",850,"Indonesia",1959,1963,"Minahasa",11000,85011000,NA,0.005,"POWERLESS","true"
"43",850,"Indonesia",1959,1963,"Amboinese",2000,85002000,NA,0.0042,"POWERLESS","true"
"44",850,"Indonesia",1959,1963,"Gorontalos",7000,85007000,NA,0.0039,"POWERLESS","false"
"45",850,"Indonesia",1959,1963,"Ternate",15000,85015000,NA,0.001,"POWERLESS","true"
"46",850,"Indonesia",1964,1966,"Javanese",8000,85008000,NA,0.45,"DOMINANT",""
"47",850,"Indonesia",1964,1966,"Sundanese",14000,85014000,NA,0.13,"POWERLESS","true"
"48",850,"Indonesia",1964,1966,"Madura",9000,85009000,NA,0.05,"POWERLESS","true"
"49",850,"Indonesia",1964,1966,"Minangkabaus",12000,85012000,NA,0.03,"POWERLESS","true"
"50",850,"Indonesia",1964,1966,"Bataks",4000,85004000,NA,0.02,"POWERLESS","true"
"51",850,"Indonesia",1964,1966,"Chinese (Han)",5000,85005000,NA,0.02,"DISCRIMINATED","false"
"52",850,"Indonesia",1964,1966,"Dayak",16000,85016000,NA,0.015,"POWERLESS","true"
"53",850,"Indonesia",1964,1966,"Acehnese",1000,85001000,NA,0.01,"POWERLESS","true"
"54",850,"Indonesia",1964,1966,"Balinese",3000,85003000,NA,0.01,"POWERLESS","true"
"55",850,"Indonesia",1964,1966,"Makassarese and Bugis",10000,85010000,NA,0.01,"POWERLESS","true"
"56",850,"Indonesia",1964,1966,"Papuans",13000,85013000,NA,0.0082,"DISCRIMINATED","false"
"57",850,"Indonesia",1964,1966,"Minahasa",11000,85011000,NA,0.005,"POWERLESS","true"
"58",850,"Indonesia",1964,1966,"Amboinese",2000,85002000,NA,0.0042,"POWERLESS","true"
"59",850,"Indonesia",1964,1966,"Gorontalos",7000,85007000,NA,0.0039,"POWERLESS","false"
"60",850,"Indonesia",1964,1966,"Ternate",15000,85015000,NA,0.001,"POWERLESS","true"
"61",850,"Indonesia",1967,1975,"Javanese",8000,85008000,NA,0.45,"DOMINANT",""
"62",850,"Indonesia",1967,1975,"Sundanese",14000,85014000,NA,0.13,"IRRELEVANT",""
"63",850,"Indonesia",1967,1975,"Madura",9000,85009000,NA,0.05,"IRRELEVANT",""
"64",850,"Indonesia",1967,1975,"Minangkabaus",12000,85012000,NA,0.03,"IRRELEVANT",""
"65",850,"Indonesia",1967,1975,"Bataks",4000,85004000,NA,0.02,"IRRELEVANT",""
"66",850,"Indonesia",1967,1975,"Chinese (Han)",5000,85005000,NA,0.02,"DISCRIMINATED","false"
"67",850,"Indonesia",1967,1975,"Dayak",16000,85016000,NA,0.015,"IRRELEVANT",""
"68",850,"Indonesia",1967,1975,"Acehnese",1000,85001000,NA,0.01,"POWERLESS","false"
"69",850,"Indonesia",1967,1975,"Balinese",3000,85003000,NA,0.01,"IRRELEVANT",""
"70",850,"Indonesia",1967,1975,"Makassarese and Bugis",10000,85010000,NA,0.01,"IRRELEVANT",""
"71",850,"Indonesia",1967,1975,"Papuans",13000,85013000,NA,0.0082,"POWERLESS","false"
"72",850,"Indonesia",1967,1975,"Minahasa",11000,85011000,NA,0.005,"IRRELEVANT",""
"73",850,"Indonesia",1967,1975,"Amboinese",2000,85002000,NA,0.0042,"IRRELEVANT",""
"74",850,"Indonesia",1967,1975,"Gorontalos",7000,85007000,NA,0.0039,"IRRELEVANT",""
"75",850,"Indonesia",1967,1975,"Ternate",15000,85015000,NA,0.001,"IRRELEVANT",""
"76",850,"Indonesia",1976,1995,"Javanese",8000,85008000,NA,0.45,"DOMINANT",""
"77",850,"Indonesia",1976,1995,"Sundanese",14000,85014000,NA,0.13,"IRRELEVANT",""
"78",850,"Indonesia",1976,1995,"Madura",9000,85009000,NA,0.05,"IRRELEVANT",""
"79",850,"Indonesia",1976,1995,"Minangkabaus",12000,85012000,NA,0.03,"IRRELEVANT",""
"80",850,"Indonesia",1976,1995,"Bataks",4000,85004000,NA,0.02,"IRRELEVANT",""
"81",850,"Indonesia",1976,1995,"Chinese (Han)",5000,85005000,NA,0.02,"DISCRIMINATED","false"
"82",850,"Indonesia",1976,1995,"Dayak",16000,85016000,NA,0.015,"IRRELEVANT",""
"83",850,"Indonesia",1976,1995,"Acehnese",1000,85001000,NA,0.01,"POWERLESS","false"
"84",850,"Indonesia",1976,1995,"Balinese",3000,85003000,NA,0.01,"IRRELEVANT",""
"85",850,"Indonesia",1976,1995,"Makassarese and Bugis",10000,85010000,NA,0.01,"IRRELEVANT",""
"86",850,"Indonesia",1976,1995,"Papuans",13000,85013000,NA,0.0079,"POWERLESS","false"
"87",850,"Indonesia",1976,1995,"East Timorese",6000,85006000,NA,0.005,"POWERLESS","false"
"88",850,"Indonesia",1976,1995,"Minahasa",11000,85011000,NA,0.0047,"IRRELEVANT",""
"89",850,"Indonesia",1976,1995,"Amboinese",2000,85002000,NA,0.0039,"IRRELEVANT",""
"90",850,"Indonesia",1976,1995,"Gorontalos",7000,85007000,NA,0.0036,"IRRELEVANT",""
"91",850,"Indonesia",1976,1995,"Ternate",15000,85015000,NA,7e-04,"IRRELEVANT",""
"92",850,"Indonesia",1996,1998,"Javanese",8000,85008000,NA,0.45,"DOMINANT",""
"93",850,"Indonesia",1996,1998,"Sundanese",14000,85014000,NA,0.13,"IRRELEVANT",""
"94",850,"Indonesia",1996,1998,"Madura",9000,85009000,NA,0.05,"IRRELEVANT",""
"95",850,"Indonesia",1996,1998,"Minangkabaus",12000,85012000,NA,0.03,"IRRELEVANT",""
"96",850,"Indonesia",1996,1998,"Bataks",4000,85004000,NA,0.02,"IRRELEVANT",""
"97",850,"Indonesia",1996,1998,"Chinese (Han)",5000,85005000,NA,0.02,"DISCRIMINATED","false"
"98",850,"Indonesia",1996,1998,"Dayak",16000,85016000,NA,0.015,"IRRELEVANT",""
"99",850,"Indonesia",1996,1998,"Acehnese",1000,85001000,NA,0.01,"POWERLESS","false"
"100",850,"Indonesia",1996,1998,"Balinese",3000,85003000,NA,0.01,"IRRELEVANT",""
"101",850,"Indonesia",1996,1998,"Makassarese and Bugis",10000,85010000,NA,0.01,"IRRELEVANT",""
"102",850,"Indonesia",1996,1998,"Papuans",13000,85013000,NA,0.0079,"POWERLESS","false"
"103",850,"Indonesia",1996,1998,"East Timorese",6000,85006000,NA,0.005,"POWERLESS","false"
"104",850,"Indonesia",1996,1998,"Minahasa",11000,85011000,NA,0.0047,"IRRELEVANT",""
"105",850,"Indonesia",1996,1998,"Amboinese",2000,85002000,NA,0.0039,"IRRELEVANT",""
"106",850,"Indonesia",1996,1998,"Gorontalos",7000,85007000,NA,0.0036,"IRRELEVANT",""
"107",850,"Indonesia",1996,1998,"Ternate",15000,85015000,NA,7e-04,"IRRELEVANT",""
"108",850,"Indonesia",1999,2001,"Javanese",8000,85008000,NA,0.45,"DOMINANT",""
"109",850,"Indonesia",1999,2001,"Sundanese",14000,85014000,NA,0.13,"POWERLESS","true"
"110",850,"Indonesia",1999,2001,"Madura",9000,85009000,NA,0.05,"POWERLESS","true"
"111",850,"Indonesia",1999,2001,"Minangkabaus",12000,85012000,NA,0.03,"POWERLESS","true"
"112",850,"Indonesia",1999,2001,"Malay",17000,85017000,NA,0.03,"POWERLESS","true"
"113",850,"Indonesia",1999,2001,"Bataks",4000,85004000,NA,0.02,"POWERLESS","true"
"114",850,"Indonesia",1999,2001,"Chinese (Han)",5000,85005000,NA,0.02,"DISCRIMINATED","false"
"115",850,"Indonesia",1999,2001,"Dayak",16000,85016000,NA,0.015,"POWERLESS","true"
"116",850,"Indonesia",1999,2001,"Acehnese",1000,85001000,NA,0.01,"POWERLESS","false"
"117",850,"Indonesia",1999,2001,"Balinese",3000,85003000,NA,0.01,"IRRELEVANT",""
"118",850,"Indonesia",1999,2001,"Makassarese and Bugis",10000,85010000,NA,0.01,"IRRELEVANT",""
"119",850,"Indonesia",1999,2001,"Papuans",13000,85013000,NA,0.0079,"POWERLESS","true"
"120",850,"Indonesia",1999,2001,"East Timorese",6000,85006000,NA,0.005,"POWERLESS","false"
"121",850,"Indonesia",1999,2001,"Minahasa",11000,85011000,NA,0.0047,"IRRELEVANT",""
"122",850,"Indonesia",1999,2001,"Amboinese",2000,85002000,NA,0.0039,"POWERLESS","true"
"123",850,"Indonesia",1999,2001,"Gorontalos",7000,85007000,NA,0.0036,"IRRELEVANT",""
"124",850,"Indonesia",1999,2001,"Ternate",15000,85015000,NA,7e-04,"IRRELEVANT",""
"125",850,"Indonesia",2002,2004,"Javanese",8000,85008000,NA,0.45,"DOMINANT",""
"126",850,"Indonesia",2002,2004,"Sundanese",14000,85014000,NA,0.13,"POWERLESS","true"
"127",850,"Indonesia",2002,2004,"Madura",9000,85009000,NA,0.05,"POWERLESS","true"
"128",850,"Indonesia",2002,2004,"Minangkabaus",12000,85012000,NA,0.03,"POWERLESS","true"
"129",850,"Indonesia",2002,2004,"Malay",17000,85017000,NA,0.03,"POWERLESS","true"
"130",850,"Indonesia",2002,2004,"Bataks",4000,85004000,NA,0.02,"POWERLESS","true"
"131",850,"Indonesia",2002,2004,"Chinese (Han)",5000,85005000,NA,0.02,"DISCRIMINATED","false"
"132",850,"Indonesia",2002,2004,"Dayak",16000,85016000,NA,0.015,"POWERLESS","true"
"133",850,"Indonesia",2002,2004,"Acehnese",1000,85001000,NA,0.01,"POWERLESS","true"
"134",850,"Indonesia",2002,2004,"Balinese",3000,85003000,NA,0.01,"IRRELEVANT",""
"135",850,"Indonesia",2002,2004,"Makassarese and Bugis",10000,85010000,NA,0.01,"IRRELEVANT",""
"136",850,"Indonesia",2002,2004,"Papuans",13000,85013000,NA,0.0082,"POWERLESS","true"
"137",850,"Indonesia",2002,2004,"Minahasa",11000,85011000,NA,0.0047,"IRRELEVANT",""
"138",850,"Indonesia",2002,2004,"Amboinese",2000,85002000,NA,0.0042,"POWERLESS","true"
"139",850,"Indonesia",2002,2004,"Gorontalos",7000,85007000,NA,0.0036,"IRRELEVANT",""
"140",850,"Indonesia",2002,2004,"Ternate",15000,85015000,NA,0.001,"IRRELEVANT",""
"141",850,"Indonesia",2005,2014,"Javanese",8000,85008000,NA,0.45,"SENIOR PARTNER","true"
"142",850,"Indonesia",2005,2014,"Sundanese",14000,85014000,NA,0.13,"JUNIOR PARTNER","true"
"143",850,"Indonesia",2005,2014,"Madura",9000,85009000,NA,0.05,"POWERLESS","true"
"144",850,"Indonesia",2005,2014,"Minangkabaus",12000,85012000,NA,0.03,"JUNIOR PARTNER","true"
"145",850,"Indonesia",2005,2014,"Malay",17000,85017000,NA,0.03,"JUNIOR PARTNER","true"
"146",850,"Indonesia",2005,2014,"Bataks",4000,85004000,NA,0.02,"JUNIOR PARTNER","true"
"147",850,"Indonesia",2005,2014,"Chinese (Han)",5000,85005000,NA,0.02,"JUNIOR PARTNER","false"
"148",850,"Indonesia",2005,2014,"Dayak",16000,85016000,NA,0.015,"POWERLESS","true"
"149",850,"Indonesia",2005,2014,"Acehnese",1000,85001000,NA,0.01,"JUNIOR PARTNER","true"
"150",850,"Indonesia",2005,2014,"Balinese",3000,85003000,NA,0.01,"IRRELEVANT",""
"151",850,"Indonesia",2005,2014,"Makassarese and Bugis",10000,85010000,NA,0.01,"IRRELEVANT",""
"152",850,"Indonesia",2005,2014,"Papuans",13000,85013000,NA,0.0082,"JUNIOR PARTNER","true"
"153",850,"Indonesia",2005,2014,"Minahasa",11000,85011000,NA,0.005,"IRRELEVANT",""
"154",850,"Indonesia",2005,2014,"Amboinese",2000,85002000,NA,0.0042,"POWERLESS","true"
"155",850,"Indonesia",2005,2014,"Gorontalos",7000,85007000,NA,0.0039,"IRRELEVANT",""
"156",850,"Indonesia",2005,2014,"Ternate",15000,85015000,NA,0.001,"IRRELEVANT",""
"157",850,"Indonesia",2015,2015,"Javanese",8000,85008000,NA,0.45,"SENIOR PARTNER","true"
"158",850,"Indonesia",2015,2015,"Sundanese",14000,85014000,NA,0.13,"JUNIOR PARTNER","true"
"159",850,"Indonesia",2015,2015,"Madura",9000,85009000,NA,0.05,"JUNIOR PARTNER","true"
"160",850,"Indonesia",2015,2015,"Minangkabaus",12000,85012000,NA,0.03,"JUNIOR PARTNER","true"
"161",850,"Indonesia",2015,2015,"Malay",17000,85017000,NA,0.03,"POWERLESS","true"
"162",850,"Indonesia",2015,2015,"Bataks",4000,85004000,NA,0.02,"POWERLESS","true"
"163",850,"Indonesia",2015,2015,"Chinese (Han)",5000,85005000,NA,0.02,"POWERLESS","false"
"164",850,"Indonesia",2015,2015,"Dayak",16000,85016000,NA,0.015,"POWERLESS","true"
"165",850,"Indonesia",2015,2015,"Acehnese",1000,85001000,NA,0.01,"JUNIOR PARTNER","true"
"166",850,"Indonesia",2015,2015,"Balinese",3000,85003000,NA,0.01,"JUNIOR PARTNER",""
"167",850,"Indonesia",2015,2015,"Makassarese and Bugis",10000,85010000,NA,0.01,"JUNIOR PARTNER","false"
"168",850,"Indonesia",2015,2015,"Papuans",13000,85013000,NA,0.0082,"JUNIOR PARTNER","true"
"169",850,"Indonesia",2015,2015,"Minahasa",11000,85011000,NA,0.005,"IRRELEVANT",""
"170",850,"Indonesia",2015,2015,"Amboinese",2000,85002000,NA,0.0042,"POWERLESS","true"
"171",850,"Indonesia",2015,2015,"Gorontalos",7000,85007000,NA,0.0039,"IRRELEVANT",""
"172",850,"Indonesia",2015,2015,"Ternate",15000,85015000,NA,0.001,"IRRELEVANT",""
"173",850,"Indonesia",2016,2021,"Javanese",8000,85008000,NA,0.45,"SENIOR PARTNER","true"
"174",850,"Indonesia",2016,2021,"Sundanese",14000,85014000,NA,0.13,"JUNIOR PARTNER","true"
"175",850,"Indonesia",2016,2021,"Madura",9000,85009000,NA,0.05,"JUNIOR PARTNER","true"
"176",850,"Indonesia",2016,2021,"Minangkabaus",12000,85012000,NA,0.03,"JUNIOR PARTNER","true"
"177",850,"Indonesia",2016,2021,"Malay",17000,85017000,NA,0.03,"POWERLESS","true"
"178",850,"Indonesia",2016,2021,"Bataks",4000,85004000,NA,0.02,"JUNIOR PARTNER","true"
"179",850,"Indonesia",2016,2021,"Chinese (Han)",5000,85005000,NA,0.02,"POWERLESS","false"
"180",850,"Indonesia",2016,2021,"Dayak",16000,85016000,NA,0.015,"POWERLESS","true"
"181",850,"Indonesia",2016,2021,"Acehnese",1000,85001000,NA,0.01,"JUNIOR PARTNER","true"
"182",850,"Indonesia",2016,2021,"Balinese",3000,85003000,NA,0.01,"JUNIOR PARTNER",""
"183",850,"Indonesia",2016,2021,"Makassarese and Bugis",10000,85010000,NA,0.01,"JUNIOR PARTNER","false"
"184",850,"Indonesia",2016,2021,"Papuans",13000,85013000,NA,0.0082,"JUNIOR PARTNER","true"
"185",850,"Indonesia",2016,2021,"Minahasa",11000,85011000,NA,0.005,"IRRELEVANT",""
"186",850,"Indonesia",2016,2021,"Amboinese",2000,85002000,NA,0.0042,"POWERLESS","true"
"187",850,"Indonesia",2016,2021,"Gorontalos",7000,85007000,NA,0.0039,"IRRELEVANT",""
"188",850,"Indonesia",2016,2021,"Ternate",15000,85015000,NA,0.001,"IRRELEVANT",""
